Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,GPA_Category,GRE Score Scaled,GPA_Category_LE,GPA_High,GPA_Low,GPA_Medium
1,337,118,4,4.5,4.5,9.65,1,0.92,High,0.9400000000000004,0,True,False,False
2,324,107,4,4.0,4.5,8.87,1,0.76,High,0.6800000000000006,0,True,False,False
3,316,104,3,3.0,3.5,8.0,1,0.72,Medium,0.5200000000000005,2,False,False,True
4,322,110,3,3.5,2.5,8.67,1,0.8,High,0.6400000000000006,0,True,False,False
5,314,103,2,2.0,3.0,8.21,0,0.65,Medium,0.4800000000000004,2,False,False,True
6,330,115,5,4.5,3.0,9.34,1,0.9,High,0.8000000000000007,0,True,False,False
7,321,109,3,3.0,4.0,8.2,1,0.75,Medium,0.6200000000000001,2,False,False,True
8,308,101,2,3.0,4.0,7.9,0,0.68,Medium,0.3600000000000003,2,False,False,True
9,302,102,1,2.0,1.5,8.0,0,0.5,Medium,0.2400000000000002,2,False,False,True
10,323,108,3,3.5,3.0,8.6,0,0.45,High,0.6600000000000001,0,True,False,False
11,325,106,3,3.5,4.0,8.4,1,0.52,Medium,0.7000000000000002,2,False,False,True
12,327,111,4,4.0,4.5,9.0,1,0.84,High,0.7400000000000002,0,True,False,False
13,328,112,4,4.0,4.5,9.1,1,0.78,High,0.7600000000000007,0,True,False,False
14,307,109,3,4.0,3.0,8.0,1,0.62,Medium,0.34000000000000075,2,False,False,True
15,311,104,3,3.5,2.0,8.2,1,0.61,Medium,0.41999999999999993,2,False,False,True
16,314,105,3,3.5,2.5,8.3,0,0.54,Medium,0.4800000000000004,2,False,False,True
17,317,107,3,4.0,3.0,8.7,0,0.66,High,0.54,0,True,False,False
18,319,106,3,4.0,3.0,8.0,1,0.65,Medium,0.5800000000000001,2,False,False,True
19,318,110,3,4.0,3.0,8.8,0,0.63,High,0.5600000000000005,0,True,False,False
20,303,102,3,3.5,3.0,8.5,0,0.62,High,0.2600000000000007,0,True,False,False
21,312,107,3,3.0,2.0,7.9,1,0.64,Medium,0.4400000000000004,2,False,False,True
22,325,114,4,3.0,2.0,8.4,0,0.7,Medium,0.7000000000000002,2,False,False,True
23,328,116,5,5.0,5.0,9.5,1,0.94,High,0.7600000000000007,0,True,False,False
24,334,119,5,5.0,4.5,9.7,1,0.95,High,0.8799999999999999,0,True,False,False
25,336,119,5,4.0,3.5,9.8,1,0.97,High,0.9199999999999999,0,True,False,False
26,340,120,5,4.5,4.5,9.6,1,0.94,High,1.0,0,True,False,False
27,322,109,5,4.5,3.5,8.8,0,0.76,High,0.6400000000000006,0,True,False,False
